AssayId,BlockId,Size,RowSid,RowName,RowTarget,ColSid,ColName,ColTarget,RowIC50,ColIC50,RowConcs,ColConcs,RowConcUnit,ColConcUnit
10946,15,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.021158,52.27254,"0.2,0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,16,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.260723,54.565334,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0019532,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,19,10,NCGC00532330-04,"A-485","Unknown",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",4.09303,23.849857,"30.0,15.0,7.5,3.75,1.875,0.9375,0.46875,0.234375,0.11718760000000002,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,20,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.015438,25.19499,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,21,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.040838,22.643969,"10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,22,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.042363,23.46619,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,23,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.676349,24.027983,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,24,10,A-485-01,"A-485","CBP/p300 Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",45.89912,23.765633,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,26,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.011819,23.982016,"1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,27,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.033681,24.885656,"2.0,1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,28,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.046192,23.307467,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,29,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.492899,13.213809,"2.0,1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,31,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.005307,25.500172,"0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,3.9060000000000006E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,32,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.01443,25.590055,"0.2,0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,33,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.019792,23.964966,"0.2,0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,34,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00351604-12,"EPZ-005687","EZH2 Inhibitor",0.258294,25.482864,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0019532,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
